tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,tweet_location,user_timezone
Tr_tweet_973,0.0,0.6671,Can't Tell,0.3651,United,Austin_Grisham,0.0,@united don't see a justifiable cost to get on an early flight with seats. No airline charges to conveniently get their passengers in early,2/23/2015 11:14,PDX,Alaska
Tr_tweet_2085,1.0,1.0,nan,,United,eotoro,0.0,@united Kurt and the crew on UA1745 were amazing today. They made my son's birthday with their kindness. Hope to fly with them again soon!,2/21/2015 14:55,"iPhone: 0.000000,0.000000",Central Time (US & Canada)
Tr_tweet_2589,0.0,1.0,Customer Service Issue,0.6804,United,bugstory,0.0,@united the refund team is far from customer care courtesy they need training on work ethics. So it's like sir u r lying how can I help,2/20/2015 11:15,"Baltimore, MD",Eastern Time (US & Canada)
Tr_tweet_445,1.0,1.0,nan,,Virgin America,Perceptions,0.0,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,2/17/2015 10:33,"Fargo, ND ( & Tucson, AZ)",Central Time (US & Canada)
Tr_tweet_2302,0.0,1.0,Cancelled Flight,1.0,United,DNLee5,0.0,"@united my flight out of BGM Cancelled Flightled last night, I get a hotel voucher, but had to pay for a cab back. Worse cab experience ever",2/21/2015 2:21,"New York, US; Tanzania, Africa",Central Time (US & Canada)
Tr_tweet_1111,1.0,0.6289,nan,0.0,United,sentientcheese,0.0,"@united been solved,  they finally picked up the second time I called,  thanks for the response JH!  7:21 to dulles works!",2/23/2015 7:20,nan,nan
Tr_tweet_1734,0.0,1.0,Cancelled Flight,0.684,United,ATL_Attorney,0.0,@united involuntarily bumped your passenger and can't guarantee them another flight for three days!,2/22/2015 7:54,"Atlanta, GA",Quito
Tr_tweet_138,0.0,1.0,Damaged Luggage,1.0,Virgin America,khartline,0.0,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,2/22/2015 12:27,Las Vegas,Pacific Time (US & Canada)
Tr_tweet_1963,0.0,0.684,Customer Service Issue,0.3499,United,Jo_Frost,0.0,"@united when I read it say ' in some cases' can you please define this for me, when for example would it not be the case?",2/21/2015 19:12,Global,Quito
Tr_tweet_718,0.0,1.0,Customer Service Issue,1.0,United,fortytoo,0.0,"@united tried calling too, but w/25 min phn wait means we'd miss options anyway",2/23/2015 20:36,"WX report for 41 Mile, Hwy 50",Pacific Time (US & Canada)
Tr_tweet_1970,0.0,1.0,Cancelled Flight,1.0,United,keithdunn,0.0,@united flight was Cancelled Flighted after the last opportunity to rebook us on other flights this evening passed.,2/21/2015 18:59,"arlington, va",Eastern Time (US & Canada)
Tr_tweet_1108,0.0,1.0,Late Flight,1.0,United,DanaHFreeman,0.0,@united Late Flight crew into #btv last nite delayed todays flt. Will miss connection to #cun. Why do I have to play for hotel tonight in #ewr?,2/23/2015 7:23,"Burlington, Vermont",Eastern Time (US & Canada)
Tr_tweet_2972,1.0,1.0,nan,,United,jasemccarty,0.0,"@united I was well taken care of, thanks. I've already been sent a survey request &amp; I'll share my positive experience (despite delay)",2/19/2015 15:10,BTR/DCA/IAD/MSY - etc,Central Time (US & Canada)
Tr_tweet_2436,0.0,1.0,Customer Service Issue,0.6493,United,Decode_NewYork,0.0,@united How can I file a claim when your agents won't let me speak to a supervisor? My claim number is expired because you WON'T find my bag,2/20/2015 17:40,New York City,Eastern Time (US & Canada)
Tr_tweet_1513,0.0,1.0,Lost Luggage,1.0,United,liveitup09,1.0,@united yes I have &amp,nan,2/22/2015 14:53,nan
Tr_tweet_3012,1.0,1.0,nan,,United,christinerimay,0.0,@united Got a call. Bag is to be delivered tonight. Thanks for your reply!!,2/19/2015 12:58,Someplace saving something,Eastern Time (US & Canada)
Tr_tweet_2933,1.0,0.6701,nan,,United,fatmanscoop,0.0,"@united got it right with the safety demonstration! Corporate but funny, reserved but NOT CORNY  as a… http://t.co/lwOtKIEKGU",2/19/2015 16:31,Everywhere!,Eastern Time (US & Canada)
Tr_tweet_3161,1.0,1.0,nan,,United,Sebybrubru,0.0,@united thanks for the quick reply! I just fill in the form #idnumber8569822 #hopetogetanswersoon,2/19/2015 2:35,nan,nan
Tr_tweet_2903,0.0,1.0,Late Flight,1.0,United,abecohenj,0.0,@united another #DELAYED day. #Delayed outbound. #delayed inbound and now waiting at EWR for a gate to be ready. how is it not ready!??,2/19/2015 17:52,nan,Eastern Time (US & Canada)
Tr_tweet_2738,1.0,1.0,nan,,United,georgev27,0.0,@united Please send me the link/email to formally compliment Irene in SLC on some of the best customer service ever. #PaxEx,2/20/2015 6:58,"Lehigh Valley, PA",nan
Tr_tweet_3291,1.0,0.6753,nan,,United,RobandMeg,0.0,"@united landing in anchorage, then on our way to fairbanks! http://t.co/FjkvQMbmaS",2/18/2015 16:23,"Staten Island, NY",Eastern Time (US & Canada)
Tr_tweet_1757,0.0,1.0,Customer Service Issue,1.0,United,roryfreeman87,0.0,@united they wouldn't let me on. Real nice of you! Just love your awesome service. And U have 2 people working this customer service line..,2/22/2015 7:08,california,Central Time (US & Canada)
Tr_tweet_2763,0.0,1.0,Late Flight,1.0,United,nancy_g3,0.0,@united Flight 6212...massive fail! They delaying to transport a crew member causing many to miss connections! Unreal!,2/20/2015 4:54,"New York, NY",Eastern Time (US & Canada)
Tr_tweet_2232,1.0,1.0,nan,,United,grahamh00,0.0,@united you're good. Thank you!,2/21/2015 9:00,"Enfield, CT",Eastern Time (US & Canada)
Tr_tweet_3006,1.0,0.6806,nan,,United,NoviceFlyer,0.0,@United  my home for the next 8.5 hrs. 777 GFC! :) http://t.co/MKpoGNntYC,2/19/2015 13:18,"Tulsa, OK",Central Time (US & Canada)
Tr_tweet_1429,0.0,1.0,Late Flight,1.0,United,reccewife,0.0,@united missing a day of vacation to see my husband because of this delay but stuff happens and I get that. Just wish it was handled better,2/22/2015 16:51,"Kingston, Canada",Mountain Time (US & Canada)
Tr_tweet_1841,0.0,0.6525,Late Flight,0.3475,United,victor_haydin,0.0,@united it is too Late Flight for reFlight Booking Problems now - it is morning already and I no longer need a hotel room,2/22/2015 3:40,nan,Kyiv
Tr_tweet_128,1.0,0.7011,nan,,Virgin America,HollywoodHotMom,0.0,@VirginAmerica always!!! Xoxo,2/22/2015 14:09,All Over!,Pacific Time (US & Canada)
Tr_tweet_2823,1.0,1.0,nan,,United,markemanuelli,0.0,"@united please do! She went above and beyond what she had to do, she made us her number one priority!",2/19/2015 21:57,nan,Eastern Time (US & Canada)
Tr_tweet_2134,0.0,1.0,Can't Tell,0.65,United,pongchmp,1.0,"@united ok so what is being done about my experience? My family had a terrible experience for $1,200. It's kind of like being robbed.Explain",2/21/2015 13:27,nan,Eastern Time (US & Canada)
Tr_tweet_941,0.0,1.0,Can't Tell,0.6919,United,medictom,0.0,@united Not a happy flyer.  UA flight 1161 from SFO to Cleveland.  Sunday 2/22.  Stay tuned for blog article from http://t.co/VdFdODqVGx,2/23/2015 12:29,"Brunswick, Ohio",Eastern Time (US & Canada)
Tr_tweet_233,0.0,0.6965,Bad Flight,0.3634,Virgin America,stephanieslome,0.0,@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,2/20/2015 17:16,San Francisco,Pacific Time (US & Canada)
Tr_tweet_2475,1.0,1.0,nan,,United,KennethRMurray,0.0,@united wins top marks for customer service via Twitter. They turned a poor experience into a positive. Many thanks for the effort! 👍,2/20/2015 15:54,"Kenosha, WI",Central Time (US & Canada)
Tr_tweet_1636,0.0,0.6897,Lost Luggage,0.6897,United,DangVanda,0.0,"@united, no. Re-booked with American and United said they'd transfer our bags to them.",2/22/2015 11:28,STL,nan
Tr_tweet_3309,1.0,1.0,nan,,United,parryaftab,0.0,@united @parryaftab done thnx,2/18/2015 15:33,nan,Central Time (US & Canada)
Tr_tweet_2961,1.0,0.6703,nan,,United,dschach,0.0,@united Thank you for the Delta transfer. Will my bags go too?,2/19/2015 15:43,"San Francisco, CA",Pacific Time (US & Canada)
Tr_tweet_2487,1.0,1.0,nan,,United,CEUGRATN,0.0,@united free booze for the Bach party would make it better!  ORD--&gt,nan,2/20/2015 15:33,nan
